scaffold,n_molecules,mean_reward,max_reward,min_reward,std_reward
O=C(C1=Cc2ccccc2OC1)C1CCC1,1,2.2400472164154053,2.2400472164154053,2.2400472164154053,
c1ccc(CCCCCCc2ccccn2)cc1,1,2.227766990661621,2.227766990661621,2.227766990661621,
c1ccc(CCCCCc2ccccc2)cc1,4,2.225813627243042,2.2304186820983887,2.2171666622161865,0.005953139187521265
c1ccc(CCCCCCc2ccncc2)cc1,1,2.2237253189086914,2.2237253189086914,2.2237253189086914,
c1ccc(CCCCCCc2ccccn2)nc1,1,2.223513603210449,2.223513603210449,2.223513603210449,
c1cc(CCCCCCc2ccncc2)ccn1,1,2.2234678268432617,2.2234678268432617,2.2234678268432617,
c1ccc(CCCCCCc2ccncc2)nc1,1,2.221764326095581,2.221764326095581,2.221764326095581,
O=C(C1=Cc2ccccc2OC1)c1ccccc1,1,2.21927547454834,2.21927547454834,2.21927547454834,
c1ccc(NCCCCCc2ccccn2)cc1,1,2.2177796363830566,2.2177796363830566,2.2177796363830566,
c1ccc(CCCCN2CCCCC2)cc1,1,2.217252254486084,2.217252254486084,2.217252254486084,
c1ccc(CCCNN2CCCCCC2)cc1,1,2.215935707092285,2.215935707092285,2.215935707092285,
c1ccc(CCCCCc2ccccn2)cc1,6,2.2156984011332193,2.2213940620422363,2.2108848094940186,0.0048333271577568155
c1ccc(CCCCCc2cccnc2)cc1,4,2.215595006942749,2.2202036380767822,2.2087759971618652,0.005609411551556955
c1ccc(CCCCCNc2ccncc2)cc1,1,2.215421199798584,2.215421199798584,2.215421199798584,
c1ccc(NCCCCCc2ccncc2)cc1,1,2.215402364730835,2.215402364730835,2.215402364730835,
c1ccc(CCCCc2ccccc2)cc1,2,2.2144490480422974,2.2194440364837646,2.20945405960083,0.007063980397819883
c1ccc(CCCCCc2ccccn2)nc1,1,2.214371681213379,2.214371681213379,2.214371681213379,
c1ccc(CCCCc2cccnc2)cc1,2,2.213385820388794,2.222626209259033,2.2041454315185547,0.01306788326189376
c1ccc(CCCCc2ccccn2)cc1,2,2.2129335403442383,2.2177090644836426,2.208158016204834,0.0067536110053856594
O=C(CCCc1ccccc1)c1ccccn1,1,2.2123208045959473,2.2123208045959473,2.2123208045959473,
c1ccc(CCCCc2ccncc2)nc1,1,2.21173095703125,2.21173095703125,2.21173095703125,
c1ccc(CCCCCCc2ccccc2)cc1,1,2.211637258529663,2.211637258529663,2.211637258529663,
c1ccc(NCCCN2CCCCCC2)cc1,1,2.211576461791992,2.211576461791992,2.211576461791992,
c1ccc(CCCCCc2cccnc2)nc1,2,2.2114450931549072,2.2206921577453613,2.202198028564453,0.013077324155960201
c1ccc(CCCCCc2ccncc2)cc1,5,2.21131272315979,2.2226922512054443,2.2028017044067383,0.00728444507237544
c1ccc(CCCCCCc2ccnnc2)cc1,1,2.211270332336426,2.211270332336426,2.211270332336426,
c1ccc(CCCCN2CCCCCC2)cc1,2,2.211062788963318,2.2118468284606934,2.2102787494659424,0.0011087992906246003
c1ccc(CCCCCNC2CCCC2)cc1,1,2.2106518745422363,2.2106518745422363,2.2106518745422363,
c1ccc(CCCCNc2ccccc2)cc1,4,2.210422694683075,2.213676929473877,2.2084338665008545,0.0022743779482662005
c1cc(CCCCc2ccncc2)ccn1,1,2.2102794647216797,2.2102794647216797,2.2102794647216797,
c1ccc(CCCCCCc2cccnc2)nc1,1,2.2100701332092285,2.2100701332092285,2.2100701332092285,
c1cncc(CCCCCc2ccncc2)c1,2,2.209927797317505,2.2156670093536377,2.204188585281372,0.008116471498833929
c1cc(CCCCN2CCCCCC2)ccn1,1,2.209644317626953,2.209644317626953,2.209644317626953,
c1ccc(CCCCCc2ccnnc2)cc1,1,2.2095718383789062,2.2095718383789062,2.2095718383789062,
c1ccc(CCCNN2CCCCC2)cc1,1,2.2092068195343018,2.2092068195343018,2.2092068195343018,
c1ccc(CCCCc2cccnc2)nc1,2,2.2089483737945557,2.210530996322632,2.2073657512664795,0.002238166243322517
c1ccc(CCCCCc2ccncc2)nc1,3,2.2083462874094644,2.215151786804199,2.204072952270508,0.005957687094830312
c1ccc(CCCCN2CCCCC2)nc1,1,2.208343982696533,2.208343982696533,2.208343982696533,
c1ccc(NCCCCc2cccnc2)cc1,1,2.2080345153808594,2.2080345153808594,2.2080345153808594,
c1cc(CCCCCNc2ccncc2)ccn1,1,2.208014726638794,2.208014726638794,2.208014726638794,
c1cncc(CCCCCCc2ccncc2)c1,1,2.207681179046631,2.207681179046631,2.207681179046631,
c1ccc(CCCCNN2CCCCC2)cc1,3,2.2076069513956704,2.211209297180176,2.204653263092041,0.0033258026304665003
c1ccc(NCCCCCc2ccncc2)nc1,1,2.207554817199707,2.207554817199707,2.207554817199707,
c1cncc(CCCCc2cccnc2)c1,1,2.2069244384765625,2.2069244384765625,2.2069244384765625,
c1ccc(CCCCCC2CCCCC2)cc1,3,2.206228733062744,2.207611083984375,2.2054800987243652,0.001198529130021928
c1cncc(CCCCNN2CCCCC2)c1,1,2.2060294151306152,2.2060294151306152,2.2060294151306152,
c1ccc(CCCCCNc2ccccn2)nc1,1,2.2059013843536377,2.2059013843536377,2.2059013843536377,
c1ccc(NCCCCc2ccccn2)cc1,1,2.2058651447296143,2.2058651447296143,2.2058651447296143,
c1ccc(CCCCCNc2ccccn2)cc1,1,2.2058403491973877,2.2058403491973877,2.2058403491973877,
c1ccc(CCCCCN2CCCCC2)cc1,2,2.205464720726013,2.2082464694976807,2.2026829719543457,0.003933986840006849
c1ccc(CCCCCNc2ccncc2)nc1,1,2.20536208152771,2.20536208152771,2.20536208152771,
c1cncc(CCCCn2ccnc2)c1,1,2.205061912536621,2.205061912536621,2.205061912536621,
O=C(Nc1ccccc1)c1ccccc1,1,2.2050247192382812,2.2050247192382812,2.2050247192382812,
c1cc(CCCCN2CCCCC2)ccn1,1,2.204948663711548,2.204948663711548,2.204948663711548,
c1ccc(CCCCCNc2ccccc2)cc1,1,2.2048511505126953,2.2048511505126953,2.2048511505126953,
c1ccc(CCCCNc2ccccn2)cc1,3,2.2045724391937256,2.205672264099121,2.2032902240753174,0.0012014484221566934
c1ccc(CCCCc2cnccn2)cc1,1,2.2038023471832275,2.2038023471832275,2.2038023471832275,
O=C(CC(=O)c1ccccn1)Nn1ccnn1,1,2.2037606239318848,2.2037606239318848,2.2037606239318848,
c1ccc(CCCCN2CCCCCC2)nc1,2,2.2037603855133057,2.2037672996520996,2.2037534713745117,9.778068854527415e-06
c1ccc(CCCCn2cncn2)cc1,1,2.20375919342041,2.20375919342041,2.20375919342041,
c1cncc(CCCCc2ccncc2)c1,1,2.2035634517669678,2.2035634517669678,2.2035634517669678,
O=C1NCCN1CCCCCCc1ccccc1,1,2.203479051589966,2.203479051589966,2.203479051589966,
O=C1CN(CCCCc2ccccc2)CCN1,1,2.2031497955322266,2.2031497955322266,2.2031497955322266,
c1ccc(NCCCCN2CCCCC2)cc1,1,2.202345848083496,2.202345848083496,2.202345848083496,
c1ccc(CCCCNc2cccnc2)cc1,1,2.2020063400268555,2.2020063400268555,2.2020063400268555,
