scaffold,count
c1ccc(CCCCCc2ccccn2)cc1,6
c1ccc(CCCCCc2ccncc2)cc1,5
c1ccc(CCCCCc2cccnc2)cc1,4
c1ccc(CCCCNc2ccccc2)cc1,4
c1ccc(CCCCCc2ccccc2)cc1,4
c1ccc(CCCCCc2ccncc2)nc1,3
c1ccc(CCCCNN2CCCCC2)cc1,3
c1ccc(CCCCNc2ccccn2)cc1,3
c1ccc(CCCCCC2CCCCC2)cc1,3
c1ccc(CCCCCN2CCCCC2)cc1,2
c1ccc(CCCCN2CCCCCC2)nc1,2
c1ccc(CCCCCc2cccnc2)nc1,2
c1ccc(CCCCc2ccccc2)cc1,2
c1ccc(CCCCc2ccccn2)cc1,2
c1ccc(CCCCc2cccnc2)cc1,2
c1ccc(CCCCc2cccnc2)nc1,2
c1ccc(CCCCN2CCCCCC2)cc1,2
c1cncc(CCCCCc2ccncc2)c1,2
c1ccc(CCCCn2cncn2)cc1,1
c1ccc(NCCCCc2ccccn2)cc1,1
c1cncc(CCCCc2ccncc2)c1,1
c1cncc(CCCCc2cccnc2)c1,1
c1cncc(CCCCNN2CCCCC2)c1,1
c1cncc(CCCCCCc2ccncc2)c1,1
c1ccc(NCCCN2CCCCCC2)cc1,1
c1ccc(NCCCCc2cccnc2)cc1,1
c1ccc(NCCCCN2CCCCC2)cc1,1
c1ccc(CCCCN2CCCCC2)nc1,1
c1ccc(CCCCNc2cccnc2)cc1,1
c1ccc(NCCCCCc2ccncc2)nc1,1
c1ccc(NCCCCCc2ccncc2)cc1,1
c1ccc(NCCCCCc2ccccn2)cc1,1
c1ccc(CCCNN2CCCCCC2)cc1,1
c1ccc(CCCNN2CCCCC2)cc1,1
c1ccc(CCCCc2ccncc2)nc1,1
c1ccc(CCCCc2cnccn2)cc1,1
O=C(C1=Cc2ccccc2OC1)C1CCC1,1
c1ccc(CCCCN2CCCCC2)cc1,1
c1ccc(CCCCCc2ccnnc2)cc1,1
O=C(CC(=O)c1ccccn1)Nn1ccnn1,1
O=C(CCCc1ccccc1)c1ccccn1,1
O=C(Nc1ccccc1)c1ccccc1,1
O=C1CN(CCCCc2ccccc2)CCN1,1
O=C1NCCN1CCCCCCc1ccccc1,1
c1cc(CCCCCCc2ccncc2)ccn1,1
c1cc(CCCCCNc2ccncc2)ccn1,1
c1cc(CCCCN2CCCCC2)ccn1,1
c1cc(CCCCN2CCCCCC2)ccn1,1
c1cc(CCCCc2ccncc2)ccn1,1
c1ccc(CCCCCCc2ccccc2)cc1,1
c1ccc(CCCCCCc2ccccn2)cc1,1
c1ccc(CCCCCCc2ccccn2)nc1,1
c1ccc(CCCCCCc2cccnc2)nc1,1
c1ccc(CCCCCCc2ccncc2)cc1,1
c1ccc(CCCCCCc2ccncc2)nc1,1
c1ccc(CCCCCCc2ccnnc2)cc1,1
c1ccc(CCCCCNC2CCCC2)cc1,1
c1ccc(CCCCCNc2ccccc2)cc1,1
c1ccc(CCCCCNc2ccccn2)cc1,1
c1ccc(CCCCCNc2ccccn2)nc1,1
c1ccc(CCCCCNc2ccncc2)cc1,1
c1ccc(CCCCCNc2ccncc2)nc1,1
c1ccc(CCCCCc2ccccn2)nc1,1
O=C(C1=Cc2ccccc2OC1)c1ccccc1,1
c1cncc(CCCCn2ccnc2)c1,1
